Id,Label,num,log(num+1),cate,modularity_class,eigencentrality,clustering,triangles,KatzCentrality,weighted degree,Authority,Hub,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Acinetobacter_albensis,Acinetobacter_albensis,4,0.69897,Bacteria,4,0.013219,0,0,0,4,0.008772,0.001476,6,0.318873,0.328822,19.322289
PT_11621,PT_11621,3,0.60206,Plasmids,4,0.034734,0,0,0,1.336134,0.003877,0.023043,5,0.322624,0.361524,158.690704
PT_3874,PT_3874,48,1.690196,Plasmids,4,0.117356,0,0,0,3.034641,0.013118,0.077959,5,0.444514,0.472113,2237.510838
PT_7714,PT_7714,6,0.845098,Plasmids,4,0.054551,0,0,0,1.119559,0.0061,0.036249,5,0.359738,0.40208,373.411385
PT_997,PT_997,33,1.531479,Plasmids,4,0.110697,0,0,0,1.792443,0.01238,0.073574,5,0.434756,0.464633,1350.629645
Acinetobacter_baumannii,Acinetobacter_baumannii,19194,4.283188,Bacteria,12,0,0,0,0,3.329402,0.664702,0.111851,4,0.527367,0.690159,142545.630395
PT_10,PT_10,103,2.017033,Plasmids,1,0.119879,0,0,0,0.918677,0.013428,0.079796,5,0.430556,0.461244,953.092295
PT_100,PT_100,90,1.959041,Plasmids,7,0.066276,0,0,0,0.617696,0.007423,0.044112,5,0.361929,0.404769,491.757221
PT_10024,PT_10024,9,1,Plasmids,12,0.041623,0,0,0,0.001561,0.004654,0.027658,5,0.345446,0.385951,0
PT_10039,PT_10039,80,1.908485,Plasmids,12,0.041623,0,0,0,0.013877,0.004654,0.027658,5,0.345446,0.385951,0
PT_10059,PT_10059,72,1.863323,Plasmids,3,0.079273,0,0,0,0.267571,0.008858,0.052638,5,0.415501,0.447803,423.734847
PT_10083,PT_10083,49,1.69897,Plasmids,8,0.092994,0,0,0,0.236262,0.010395,0.061772,5,0.427971,0.457737,823.887765
PT_10123,PT_10123,5,0.778151,Plasmids,9,0.08638,0,0,0,1.028148,0.009658,0.057393,5,0.417937,0.45014,404.385174
PT_10124,PT_10124,163,2.214844,Plasmids,12,0.070338,0,0,0,0.045578,0.007887,0.046869,5,0.3565,0.39834,73.6896
PT_10125,PT_10125,81,1.913814,Plasmids,12,0.075315,0,0,0,0.016678,0.008416,0.050013,5,0.412139,0.444764,252.103575
PT_10128,PT_10128,1,0.30103,Plasmids,12,0.041623,0,0,0,0.000173,0.004654,0.027658,5,0.345446,0.385951,0
PT_10189,PT_10189,10,1.041393,Plasmids,12,0.041623,0,0,0,0.001735,0.004654,0.027658,5,0.345446,0.385951,0
PT_10202,PT_10202,10,1.041393,Plasmids,2,0.087683,0,0,0,0.078176,0.009794,0.058202,5,0.426435,0.456101,698.685644
PT_1021,PT_1021,1,0.30103,Plasmids,12,0.041623,0,0,0,0.000173,0.004654,0.027658,5,0.345446,0.385951,0
PT_10226,PT_10226,77,1.892095,Plasmids,5,0.07929,0,0,0,1.224346,0.008859,0.052649,5,0.415017,0.448036,475.729514
PT_10257,PT_10257,1,0.30103,Plasmids,12,0.041623,0,0,0,0.000173,0.004654,0.027658,5,0.345446,0.385951,0
PT_10264,PT_10264,1,0.30103,Plasmids,12,0.041623,0,0,0,0.000173,0.004654,0.027658,5,0.345446,0.385951,0
PT_10272,PT_10272,1,0.30103,Plasmids,12,0.041623,0,0,0,0.000173,0.004654,0.027658,5,0.345446,0.385951,0
PT_10273,PT_10273,1,0.30103,Plasmids,12,0.041623,0,0,0,0.000173,0.004654,0.027658,5,0.345446,0.385951,0
PT_10279,PT_10279,7,0.90309,Plasmids,5,0.081522,0,0,0,2.146179,0.009109,0.05413,5,0.415986,0.449322,632.796033
PT_10280,PT_10280,1,0.30103,Plasmids,12,0.041623,0,0,0,0.000173,0.004654,0.027658,5,0.345446,0.385951,0
PT_10298,PT_10298,287,2.459392,Plasmids,12,0.16042,0,0,0,3.694197,0.017969,0.106785,5,0.4553,0.482281,3247.882904
PT_10315,PT_10315,4,0.69897,Plasmids,12,0.041623,0,0,0,0.000694,0.004654,0.027658,5,0.345446,0.385951,0
PT_1034,PT_1034,1,0.30103,Plasmids,12,0.041623,0,0,0,0.000173,0.004654,0.027658,5,0.345446,0.385951,0
PT_1037,PT_1037,3,0.60206,Plasmids,12,0.041623,0,0,0,0.00052,0.004654,0.027658,5,0.345446,0.385951,0
PT_1039,PT_1039,10,1.041393,Plasmids,8,0.075315,0,0,0,0.020128,0.008416,0.050013,5,0.412139,0.444764,252.103575
PT_10589,PT_10589,3,0.60206,Plasmids,8,0.075315,0,0,0,0.003148,0.008416,0.050013,5,0.412139,0.444764,252.103575
PT_10736,PT_10736,6,0.845098,Plasmids,10,0.079219,0,0,0,0.080418,0.008851,0.052599,5,0.414535,0.447101,369.962517
PT_10898,PT_10898,75,1.880814,Plasmids,6,0.110213,0,0,0,1.811565,0.012343,0.07335,5,0.425418,0.457153,956.844887
PT_10964,PT_10964,9,1,Plasmids,12,0.041623,0,0,0,0.001561,0.004654,0.027658,5,0.345446,0.385951,0
PT_11012,PT_11012,40,1.612784,Plasmids,12,0.058975,0,0,0,0.070909,0.006606,0.03926,5,0.35297,0.394834,90.475212
PT_11058,PT_11058,2,0.477121,Plasmids,12,0.041623,0,0,0,0.000347,0.004654,0.027658,5,0.345446,0.385951,0
PT_11144,PT_11144,1,0.30103,Plasmids,12,0.041623,0,0,0,0.000173,0.004654,0.027658,5,0.345446,0.385951,0
PT_11170,PT_11170,13,1.146128,Plasmids,12,0.041623,0,0,0,0.002255,0.004654,0.027658,5,0.345446,0.385951,0
PT_11261,PT_11261,38,1.591065,Plasmids,7,0.135423,0,0,0,0.858543,0.015172,0.090164,5,0.439039,0.467438,1449.79509
PT_11388,PT_11388,35,1.556303,Plasmids,7,0.13174,0,0,0,0.423919,0.014759,0.087709,5,0.437423,0.465802,973.477701
PT_1171,PT_1171,264,2.423246,Plasmids,11,0.108503,0,0,0,0.325735,0.012151,0.072212,5,0.4239,0.454932,517.553166
PT_1208,PT_1208,10,1.041393,Plasmids,12,0.083423,0,0,0,0.383198,0.009343,0.055522,5,0.376452,0.419261,662.631751
PT_12126,PT_12126,4,0.69897,Plasmids,11,0.046096,0,0,0,0.026161,0.005157,0.030646,5,0.348145,0.389341,51.281159
PT_12140,PT_12140,2,0.477121,Plasmids,12,0.054502,0,0,0,0.008047,0.006103,0.036271,5,0.351578,0.392847,33.496296
PT_12289,PT_12289,5,0.778151,Plasmids,12,0.077414,0,0,0,0.148806,0.008651,0.051412,5,0.413094,0.44605,347.386889
