Id	num	log(num+1)	Cate
PT_5383	129	2.113943352	Plasmids
PT_10083	49	1.698970004	Plasmids
PT_1389	70	1.851258349	Plasmids
PT_9021	6	0.84509804	Plasmids
PT_14683	14	1.176091259	Plasmids
PT_5914	200	2.303196057	Plasmids
PT_8823	131	2.120573931	Plasmids
PT_4026	1	0.301029996	Plasmids
PT_10298	287	2.459392488	Plasmids
PT_3057	302	2.481442629	Plasmids
PT_10035	14	1.176091259	Plasmids
PT_7245	257	2.411619706	Plasmids
PT_13129	29	1.477121255	Plasmids
PT_1388	28	1.462397998	Plasmids
PT_5918	57	1.763427994	Plasmids
PT_4416	40	1.612783857	Plasmids
PT_8899	67	1.832508913	Plasmids
PT_8979	27	1.447158031	Plasmids
PT_7548	22	1.361727836	Plasmids
PT_10898	75	1.880813592	Plasmids
PT_5045	3	0.602059991	Plasmids
PT_8055	43	1.643452676	Plasmids
PT_4281	28	1.462397998	Plasmids
PT_7127	141	2.152288344	Plasmids
PT_8185	140	2.149219113	Plasmids
PT_9343	23	1.380211242	Plasmids
PT_5917	141	2.152288344	Plasmids
PT_1748	19	1.301029996	Plasmids
PT_3329	15	1.204119983	Plasmids
PT_3874	48	1.69019608	Plasmids
PT_1210	18	1.278753601	Plasmids
PT_7875	41	1.62324929	Plasmids
PT_7607	59	1.77815125	Plasmids
PT_996	6	0.84509804	Plasmids
PT_17359	2	0.477121255	Plasmids
PT_3904	18	1.278753601	Plasmids
PT_7706	24	1.397940009	Plasmids
PT_4462	37	1.579783597	Plasmids
PT_10202	10	1.041392685	Plasmids
PT_12354	3	0.602059991	Plasmids
PT_8249	14	1.176091259	Plasmids
PT_8645	218	2.340444115	Plasmids
PT_7541	18	1.278753601	Plasmids
PT_10226	77	1.892094603	Plasmids
PT_1039	10	1.041392685	Plasmids
PT_22190	17	1.255272505	Plasmids
PT_8780	15	1.204119983	Plasmids
PT_901	29	1.477121255	Plasmids
PT_7800	97	1.991226076	Plasmids
PT_6604	231	2.365487985	Plasmids
PT_712	106	2.029383778	Plasmids
PT_8513	28	1.462397998	Plasmids
PT_3148	21	1.342422681	Plasmids
PT_6524	2	0.477121255	Plasmids
PT_6908	4	0.698970004	Plasmids
PT_9087	46	1.672097858	Plasmids
PT_8315	53	1.73239376	Plasmids
PT_1171	264	2.423245874	Plasmids
PT_1900	2255	3.353339095	Plasmids
PT_1481	12	1.113943352	Plasmids
PT_1675	59	1.77815125	Plasmids
PT_5294	8	0.954242509	Plasmids
PT_3271	7	0.903089987	Plasmids
PT_9400	347	2.541579244	Plasmids
PT_20853	43	1.643452676	Plasmids
PT_2532	15	1.204119983	Plasmids
PT_6525	12	1.113943352	Plasmids
PT_4707	333	2.523746467	Plasmids
PT_9388	322	2.509202522	Plasmids
PT_17635	5	0.77815125	Plasmids
PT_21556	3	0.602059991	Plasmids
PT_1587	10	1.041392685	Plasmids
PT_7133	9	1	Plasmids
PT_997	33	1.531478917	Plasmids
PT_19079	5	0.77815125	Plasmids
PT_8186	11	1.079181246	Plasmids
PT_14684	10	1.041392685	Plasmids
PT_12368	5	0.77815125	Plasmids
PT_7670	5	0.77815125	Plasmids
PT_2128	6	0.84509804	Plasmids
PT_7111	10	1.041392685	Plasmids
PT_18311	5	0.77815125	Plasmids
PT_3005	32	1.51851394	Plasmids
PT_19550	85	1.934498451	Plasmids
PT_3680	17	1.255272505	Plasmids
PT_385	31	1.505149978	Plasmids
PT_7113	2	0.477121255	Plasmids
PT_2116	162	2.212187604	Plasmids
PT_2866	4	0.698970004	Plasmids
PT_15022	13	1.146128036	Plasmids
PT_22451	7	0.903089987	Plasmids
PT_25139	2	0.477121255	Plasmids
VT_14471	2620	3.418467021	Plasmids
PT_2742	400	2.603144373	Plasmids
PT_6740	1544	3.188928484	Plasmids
