Source	Target	num	rate
Acinetobacter_albensis	PT_11621	1	1
Acinetobacter_albensis	PT_3874	1	1
Acinetobacter_albensis	PT_7714	1	1
Acinetobacter_albensis	PT_997	1	1
Acinetobacter_baumannii	PT_10	81	0.014050304
Acinetobacter_baumannii	PT_100	82	0.014223764
Acinetobacter_baumannii	PT_10024	9	0.001561145
Acinetobacter_baumannii	PT_10039	80	0.013876843
Acinetobacter_baumannii	PT_10059	69	0.011968777
Acinetobacter_baumannii	PT_10083	3	0.000520382
Acinetobacter_baumannii	PT_10123	2	0.000346921
Acinetobacter_baumannii	PT_10124	160	0.027753686
Acinetobacter_baumannii	PT_10125	80	0.013876843
Acinetobacter_baumannii	PT_10128	1	0.000173461
Acinetobacter_baumannii	PT_10189	10	0.001734605
Acinetobacter_baumannii	PT_10202	2	0.000346921
Acinetobacter_baumannii	PT_1021	1	0.000173461
Acinetobacter_baumannii	PT_10226	58	0.010060711
Acinetobacter_baumannii	PT_10257	1	0.000173461
Acinetobacter_baumannii	PT_10264	1	0.000173461
Acinetobacter_baumannii	PT_10272	1	0.000173461
Acinetobacter_baumannii	PT_10273	1	0.000173461
Acinetobacter_baumannii	PT_10279	3	0.000520382
Acinetobacter_baumannii	PT_10280	1	0.000173461
Acinetobacter_baumannii	PT_10298	186	0.03226366
Acinetobacter_baumannii	PT_10315	4	0.000693842
Acinetobacter_baumannii	PT_1034	1	0.000173461
Acinetobacter_baumannii	PT_1037	3	0.000520382
Acinetobacter_baumannii	PT_1039	3	0.000520382
Acinetobacter_baumannii	PT_10589	2	0.000346921
Acinetobacter_baumannii	PT_10736	4	0.000693842
Acinetobacter_baumannii	PT_10898	18	0.00312229
Acinetobacter_baumannii	PT_10964	9	0.001561145
Acinetobacter_baumannii	PT_11012	34	0.005897658
Acinetobacter_baumannii	PT_11058	2	0.000346921
Acinetobacter_baumannii	PT_11144	1	0.000173461
Acinetobacter_baumannii	PT_11170	13	0.002254987
Acinetobacter_baumannii	PT_11261	7	0.001214224
Acinetobacter_baumannii	PT_11388	5	0.000867303
Acinetobacter_baumannii	PT_1171	247	0.042844753
Acinetobacter_baumannii	PT_1208	2	0.000346921
Acinetobacter_baumannii	PT_12126	3	0.000520382
Acinetobacter_baumannii	PT_12140	1	0.000173461
Acinetobacter_baumannii	PT_12289	2	0.000346921
Acinetobacter_baumannii	PT_12320	6	0.001040763
Acinetobacter_baumannii	PT_12409	1	0.000173461
Acinetobacter_baumannii	PT_12648	1	0.000173461
Acinetobacter_baumannii	PT_12853	4	0.000693842
Acinetobacter_baumannii	PT_12898	15	0.002601908
Acinetobacter_baumannii	PT_129	1	0.000173461
Acinetobacter_baumannii	PT_12904	49	0.008499566
Acinetobacter_baumannii	PT_12973	1	0.000173461
Acinetobacter_baumannii	PT_13129	6	0.001040763
Acinetobacter_baumannii	PT_13203	1	0.000173461
Acinetobacter_baumannii	PT_13207	1	0.000173461
Acinetobacter_baumannii	PT_13219	16	0.002775369
Acinetobacter_baumannii	PT_13229	2	0.000346921
Acinetobacter_baumannii	PT_13397	185	0.032090199
Acinetobacter_baumannii	PT_13398	7	0.001214224
Acinetobacter_baumannii	PT_13409	91	0.015784909
Acinetobacter_baumannii	PT_13410	16	0.002775369
Acinetobacter_baumannii	PT_13458	1	0.000173461
Acinetobacter_baumannii	PT_13497	9	0.001561145
Acinetobacter_baumannii	PT_13499	1	0.000173461
Acinetobacter_baumannii	PT_13500	2	0.000346921
Acinetobacter_baumannii	PT_13521	206	0.035732871
Acinetobacter_baumannii	PT_1364	1	0.000173461
Acinetobacter_baumannii	PT_13645	1	0.000173461
Acinetobacter_baumannii	PT_1365	27	0.004683435
Acinetobacter_baumannii	PT_1367	15	0.002601908
Acinetobacter_baumannii	PT_1369	19	0.00329575
Acinetobacter_baumannii	PT_1388	7	0.001214224
Acinetobacter_baumannii	PT_1389	1	0.000173461
Acinetobacter_baumannii	PT_13939	22	0.003816132
Acinetobacter_baumannii	PT_14070	6	0.001040763
Acinetobacter_baumannii	PT_14191	23	0.003989592
Acinetobacter_baumannii	PT_14225	3	0.000520382
Acinetobacter_baumannii	PT_14321	3	0.000520382
Acinetobacter_baumannii	PT_14788	4	0.000693842
Acinetobacter_baumannii	PT_1480	4	0.000693842
Acinetobacter_baumannii	PT_1481	5	0.000867303
Acinetobacter_baumannii	PT_14930	1	0.000173461
Acinetobacter_baumannii	PT_15004	3	0.000520382
Acinetobacter_baumannii	PT_15014	2	0.000346921
Acinetobacter_baumannii	PT_15022	1	0.000173461
Acinetobacter_baumannii	PT_15068	39	0.006764961
Acinetobacter_baumannii	PT_15304	2	0.000346921
Acinetobacter_baumannii	PT_1545	1	0.000173461
Acinetobacter_baumannii	PT_15563	12	0.002081526
Acinetobacter_baumannii	PT_15643	2	0.000346921
Acinetobacter_baumannii	PT_1572	1	0.000173461
Acinetobacter_baumannii	PT_1675	1	0.000173461
Acinetobacter_baumannii	PT_16864	2	0.000346921
Acinetobacter_baumannii	PT_16924	6	0.001040763
Acinetobacter_baumannii	PT_16946	3	0.000520382
Acinetobacter_baumannii	PT_17056	2	0.000346921
Acinetobacter_baumannii	PT_17081	3	0.000520382
Acinetobacter_baumannii	PT_17099	1	0.000173461
Acinetobacter_baumannii	PT_17379	2	0.000346921
Acinetobacter_baumannii	PT_1748	2	0.000346921
Acinetobacter_baumannii	PT_1788	3	0.000520382
Acinetobacter_baumannii	PT_17976	14	0.002428448
Acinetobacter_baumannii	PT_1801	2	0.000346921
Acinetobacter_baumannii	PT_1819	3	0.000520382
Acinetobacter_baumannii	PT_1900	2241	0.388725065
Acinetobacter_baumannii	PT_1901	8	0.001387684
